runIndex,seed,bet,ante,totalBet,totalWin,profit,spins,nudges,actionsUsed,cardsClaimed,maxSingleCardMult,endedByActionsZero
0,1,10,0,10,7.3,-2.7,15,0,15,7,0.23,1
1,2,10,0,10,5.2,-4.8,15,0,15,6,0.23,1
2,3,10,0,10,12.3,2.3,16,0,16,9,0.47,1
3,4,10,0,10,12.1,2.1,15,0,15,11,0.23,1
4,5,10,0,10,13.6,3.6,17,0,17,9,0.47,1
5,6,10,0,10,8.3,-1.7,15,0,15,9,0.23,1
6,7,10,0,10,11.2,1.2,16,0,16,9,0.34,1
7,8,10,0,10,8.3,-1.7,15,0,15,9,0.23,1
8,9,10,0,10,7.1,-2.9,15,0,15,7,0.23,1
9,10,10,0,10,8.5,-1.5,15,0,15,7,0.23,1
10,11,10,0,10,7.8,-2.2,15,0,15,8,0.23,1
11,12,10,0,10,8.6,-1.4,15,0,15,8,0.19,1
12,13,10,0,10,10.1,0.1,16,0,16,9,0.23,1
13,14,10,0,10,13.4,3.4,16,0,16,9,0.56,1
14,15,10,0,10,6.4,-3.6,15,0,15,7,0.23,1
15,16,10,0,10,9.9,-0.1,15,0,15,8,0.23,1
16,17,10,0,10,13.7,3.7,17,0,17,9,0.34,1
17,18,10,0,10,8.5,-1.5,15,0,15,7,0.23,1
18,19,10,0,10,9.2,-0.8,15,0,15,8,0.23,1
19,20,10,0,10,10.2,0.2,15,0,15,10,0.23,1
20,21,10,0,10,7.1,-2.9,15,0,15,7,0.23,1
21,22,10,0,10,10.8,0.8,16,0,16,9,0.23,1
22,23,10,0,10,12.2,2.2,16,0,16,8,0.56,1
23,24,10,0,10,12.6,2.6,16,0,16,8,0.34,1
24,25,10,0,10,8.5,-1.5,15,0,15,7,0.23,1
25,26,10,0,10,9.4,-0.6,16,0,16,7,0.23,1
26,27,10,0,10,9,-1,15,0,15,8,0.23,1
27,28,10,0,10,7.8,-2.2,15,0,15,8,0.23,1
28,29,10,0,10,5.9,-4.1,15,0,15,6,0.23,1
29,30,10,0,10,9.9,-0.1,16,0,16,8,0.23,1
30,31,10,0,10,9.3,-0.7,15,0,15,9,0.19,1
31,32,10,0,10,4.6,-5.4,15,0,15,7,0.12,1
32,33,10,0,10,11.3,1.3,16,0,16,10,0.23,1
33,34,10,0,10,6.4,-3.6,15,0,15,7,0.23,1
34,35,10,0,10,5.2,-4.8,15,0,15,6,0.23,1
35,36,10,0,10,6.1,-3.9,15,0,15,6,0.23,1
36,37,10,0,10,7.1,-2.9,15,0,15,7,0.23,1
37,38,10,0,10,11.6,1.6,16,0,16,9,0.47,1
38,39,10,0,10,9.7,-0.3,15,0,15,9,0.23,1
39,40,10,0,10,13.2,3.2,16,0,16,9,0.47,1
40,41,10,0,10,8,-2,15,0,15,7,0.23,1
41,42,10,0,10,6,-4,15,0,15,8,0.14,1
42,43,10,0,10,7.6,-2.4,15,0,15,8,0.23,1
43,44,10,0,10,4.7,-5.3,15,0,15,5,0.23,1
44,45,10,0,10,6.1,-3.9,15,0,15,6,0.23,1
45,46,10,0,10,8,-2,15,0,15,7,0.23,1
46,47,10,0,10,25.1,15.1,18,0,18,11,0.94,1
47,48,10,0,10,6.6,-3.4,15,0,15,6,0.23,1
48,49,10,0,10,7.8,-2.2,15,0,15,8,0.23,1
49,50,10,0,10,16.5,6.5,16,0,16,11,0.56,1
50,51,10,0,10,10.6,0.6,16,0,16,8,0.23,1
51,52,10,0,10,12.5,2.5,16,0,16,9,0.47,1
52,53,10,0,10,11.2,1.2,16,0,16,7,0.34,1
53,54,10,0,10,7.6,-2.4,15,0,15,8,0.23,1
54,55,10,0,10,10.8,0.8,16,0,16,8,0.23,1
55,56,10,0,10,10.9,0.9,15,0,15,9,0.23,1
56,57,10,0,10,7.8,-2.2,15,0,15,8,0.23,1
57,58,10,0,10,13.2,3.2,16,0,16,8,0.47,1
58,59,10,0,10,7.1,-2.9,15,0,15,7,0.23,1
59,60,10,0,10,7.8,-2.2,15,0,15,8,0.23,1
60,61,10,0,10,7.8,-2.2,15,0,15,7,0.23,1
61,62,10,0,10,7.1,-2.9,15,0,15,7,0.23,1
62,63,10,0,10,11.3,1.3,16,0,16,9,0.23,1
63,64,10,0,10,10.1,0.1,16,0,16,9,0.23,1
64,65,10,0,10,8.5,-1.5,15,0,15,8,0.23,1
65,66,10,0,10,11.3,1.3,16,0,16,9,0.23,1
66,67,10,0,10,16.9,6.9,17,0,17,11,0.47,1
67,68,10,0,10,9,-1,15,0,15,9,0.23,1
68,69,10,0,10,13.6,3.6,16,0,16,8,0.56,1
69,70,10,0,10,7.8,-2.2,15,0,15,8,0.23,1
70,71,10,0,10,8.5,-1.5,15,0,15,8,0.23,1
71,72,10,0,10,8.5,-1.5,15,0,15,8,0.23,1
72,73,10,0,10,10.4,0.4,15,0,15,9,0.23,1
73,74,10,0,10,7.6,-2.4,15,0,15,8,0.23,1
74,75,10,0,10,9.7,-0.3,15,0,15,9,0.23,1
75,76,10,0,10,7.5,-2.5,16,0,16,6,0.23,1
76,77,10,0,10,10.4,0.4,15,0,15,8,0.23,1
77,78,10,0,10,6.7,-3.3,15,0,15,8,0.19,1
78,79,10,0,10,6.6,-3.4,15,0,15,7,0.23,1
79,80,10,0,10,6.9,-3.1,15,0,15,8,0.23,1
80,81,10,0,10,6,-4,15,0,15,7,0.19,1
81,82,10,0,10,8.2,-1.8,16,0,16,7,0.34,1
82,83,10,0,10,6.4,-3.6,15,0,15,7,0.23,1
83,84,10,0,10,9.7,-0.3,15,0,15,9,0.23,1
84,85,10,0,10,9.7,-0.3,15,0,15,9,0.23,1
85,86,10,0,10,6.1,-3.9,15,0,15,6,0.23,1
86,87,10,0,10,6.2,-3.8,15,0,15,7,0.19,1
87,88,10,0,10,5.9,-4.1,15,0,15,5,0.23,1
88,89,10,0,10,10.9,0.9,15,0,15,9,0.23,1
89,90,10,0,10,7.1,-2.9,15,0,15,7,0.23,1
90,91,10,0,10,8.5,-1.5,15,0,15,8,0.23,1
91,92,10,0,10,9.2,-0.8,15,0,15,8,0.23,1
92,93,10,0,10,9.4,-0.6,16,0,16,8,0.23,1
93,94,10,0,10,9.6,-0.4,16,0,16,8,0.23,1
94,95,10,0,10,7.8,-2.2,15,0,15,7,0.23,1
95,96,10,0,10,8.3,-1.7,15,0,15,8,0.23,1
96,97,10,0,10,6.6,-3.4,15,0,15,6,0.23,1
97,98,10,0,10,5.2,-4.8,15,0,15,6,0.23,1
98,99,10,0,10,8.8,-1.2,15,0,15,9,0.23,1
99,100,10,0,10,6.6,-3.4,15,0,15,7,0.23,1
100,101,10,0,10,6.6,-3.4,15,0,15,6,0.23,1
